C++,,5636,Functions,1.CPP.FUN.1,function,function,function,function
C++,,5637,Operators,1.CPP.O.1,operator,operator,operator,operator
C++,,5638,Loops,1.CPP.L.1,loop,loop,loop,loop
C++,,5639,Arrays,1.CPP.ARR.1,array,array,array,array
C++,,5640,Pointers,1.CPP.PNT.1,pointers,pointers,pointers,pointers
C++,,5641,Strings,1.CPP.STR.1,string,string,string,string
C++,,5642,Structures,1.CPP.STRUCT.1,structure,structure,structure,structure
C++,,5643,Inheritance,1.CPP.IH.1,inheritance,inheritance,inheritance,inheritance
C++,,5644,Polymorphism,1.CPP.POL.1,polymorphism,polymorphism,polymorphism,polymorphism
C++,,5645,Abstraction,1.CPP.ABST.1,abstraction,abstraction,abstraction,abstraction
C++,,5646,Encapsulation,1.CPP.ENCP.1,encapsulation,encapsulation,encapsulation,encapsulation
C++,,5647,Interfaces,1.CPP.I.1,interface,interface,interface,interface
C++,,5648,Overloading,1.CPP.OVLO.1,overloading,overloading,overloading,overloading
C++,,5649,Classes &amp Objects,1.CPP.CAO.1,class &amp object,class &amp object,class &amp object,class &amp object
C++,,5650,Files and Streams,1.CPP.FAS.1,file and stream,file and stream,file and stream,file and stream
C++,,5651,Exception Handling,1.CPP.EH.1,exception handling,exception handling,exception handling,exception handling
C++,,5652,Namespaces,1.CPP.NP.1,namespaces,namespaces,namespaces,namespaces
C++,,5653,Multi threading,1.CPP.MLTRD.1,multi threading,multi threading,multi threading,multi threading
C++,,5654,Signal handling,1.CPP.SGH.1,signal handling,signal handling,signal handling,signal handling
C++,,5655,Preprocessor,1.CPP.PP.1,preprocessor,preprocessor,preprocessor,preprocessor
C++,,5656,Web Programming,1.CPP.WP.1,web programming,web programming,web programming,web programming
C++,,5657,Templates,1.CPP.TMPL.1,templates,templates,templates,templates
C++,,5658,Numbers,1.CPP.NUM.1,number,number,number,number
C++,,5659,Storage classes,1.CPP.STCL.1,storage class,storage class,storage class,storage class
C++,,5660,Modifier types,1.CPP.MT.1,modifier type,modifier type,modifier type,modifier type
C++,,5661,Constants/Literals,1.CPP.CL.1,constant literal,constant literal,constant literal,constant literal
